awayConference,awayMoneyline,awayScore,awayTeam_x,awayTeamId_x,gameId,homeConference,homeMoneyline,homeScore,homeTeam_x,homeTeamId_x,overUnder,overUnderOpen,provider,season,seasonType,spread,spreadOpen,startDate_x,majority_sign_sum,provider_count,homeTeam_y,awayTeam_y,homeTeamId_y,awayTeamId_y,neutralSite,startDate_y,confidence,reason_flag,rating_edge
Patriot,-443.0,76,Boston University,27,19204,MAC,334.0,58,Northern Illinois,208,127.5,,consensus,2022,regular,-8.5,,2021-11-21T17:00:00.000Z,0.0,2.0,Northern Illinois,Boston University,208,27,True,2021-11-21T17:00:00.000Z,high,strong_moneyline_conflict,
MAC,264.0,89,Ball State,19,19211,A-10,-342.0,86,Massachusetts,161,145.5,,consensus,2022,regular,7.5,,2021-11-21T19:30:00.000Z,0.0,2.0,Massachusetts,Ball State,161,19,True,2021-11-21T19:30:00.000Z,high,strong_moneyline_conflict,
ACC,-319.0,73,Florida State,90,19234,WCC,251.0,45,Loyola Marymount,153,138.5,,consensus,2022,regular,-7.0,,2021-11-21T22:30:00.000Z,0.0,2.0,Loyola Marymount,Florida State,153,90,True,2021-11-21T22:30:00.000Z,high,strong_moneyline_conflict,
SEC,232.0,80,Missouri,177,19244,American,-293.0,75,SMU,248,139.0,,consensus,2022,regular,7.0,,2021-11-22T01:00:00.000Z,2.0,2.0,SMU,Missouri,248,177,True,2021-11-22T01:00:00.000Z,high,strong_moneyline_conflict,
WAC,-411.0,80,New Mexico State,192,19246,MVC,311.0,66,Indiana State,122,140.5,,consensus,2022,regular,-9.0,,2021-11-22T01:30:00.000Z,0.0,2.0,Indiana State,New Mexico State,122,192,True,2021-11-22T01:30:00.000Z,high,strong_moneyline_conflict,
MVC,168.0,104,Evansville,82,19254,CUSA,-203.0,109,Rice,241,134.5,,consensus,2022,regular,5.5,,2021-11-22T16:00:00.000Z,0.0,2.0,Rice,Evansville,241,82,True,2021-11-22T16:00:00.000Z,medium,moneyline_conflict,
A-10,405.0,63,Fordham,91,19267,MAC,-568.0,43,Akron,3,134.5,,consensus,2022,regular,10.5,,2021-11-22T22:00:00.000Z,0.0,2.0,Akron,Fordham,3,91,True,2021-11-22T22:00:00.000Z,high,strong_moneyline_conflict,
Big Sky,479.0,45,Idaho,117,19268,WAC,-692.0,83,Utah Valley,332,139.5,,consensus,2022,regular,10.5,,2021-11-22T22:30:00.000Z,0.0,2.0,Utah Valley,Idaho,332,117,True,2021-11-22T22:30:00.000Z,high,strong_moneyline_conflict,
OVC,-234.0,58,Murray State,184,19269,SoCon,189.0,66,East Tennessee State,75,135.5,,consensus,2022,regular,-5.5,,2021-11-22T22:30:00.000Z,0.0,2.0,East Tennessee State,Murray State,75,184,True,2021-11-22T22:30:00.000Z,medium,moneyline_conflict,
Big Ten,-523.0,51,Illinois,118,19275,American,374.0,71,Cincinnati,51,137.5,,consensus,2022,regular,-9.5,,2021-11-22T23:30:00.000Z,0.0,2.0,Cincinnati,Illinois,51,118,True,2021-11-22T23:30:00.000Z,high,strong_moneyline_conflict,
