option,season,bucket_kind,bucket,n,avg_pick_prob,win_rate,roi
hgbr_residual_log_scalar,2023,probability,"[0.7, 0.75)",71,0.7217583684891969,0.6571428571428571,0.2509603072983355
hgbr_residual_log_scalar,2023,probability,"[0.75, 0.8)",28,0.7726937280113605,0.5714285714285714,0.0909090909090909
hgbr_residual_log_scalar,2023,probability,"[0.8, 0.85)",18,0.8229160368329731,0.7777777777777778,0.4848484848484848
hgbr_residual_log_scalar,2023,probability,"[0.85, 1.01)",16,0.9147947043224929,0.875,0.6704545454545454
hgbr_residual_log_scalar,2023,edge,"[0.0, 0.02)",1273,0.5334293893820634,0.5019638648860958,-0.041705348853817034
hgbr_residual_log_scalar,2023,edge,"[0.02, 0.04)",912,0.5530531263781948,0.5120614035087719,-0.02242822966507177
hgbr_residual_log_scalar,2023,edge,"[0.04, 0.06)",661,0.5726764297133882,0.4803030303030303,-0.0829321963966442
hgbr_residual_log_scalar,2023,edge,"[0.06, 0.08)",371,0.5931873221978143,0.5283018867924528,0.008576329331046323
hgbr_residual_log_scalar,2023,edge,"[0.08, 0.1)",231,0.6138287703696684,0.5497835497835498,0.04958677685950413
hgbr_residual_log_scalar,2023,edge,"[0.1, 0.15)",258,0.6435961563315267,0.5426356589147286,0.035940803382663845
hgbr_residual_log_scalar,2023,edge,"[0.15, 1.0)",192,0.7439417513069273,0.6492146596858639,0.23816287878787878
hgbr_residual_log_affine,2023,probability,"[0.5, 0.55)",3751,0.5223922691282343,0.504,-0.03780809965827294
hgbr_residual_log_affine,2023,probability,"[0.55, 0.6)",1438,0.5690913554895791,0.4954766875434934,-0.054052345429257805
hgbr_residual_log_affine,2023,probability,"[0.6, 0.65)",372,0.6190204291924684,0.553763440860215,0.057184750733137835
hgbr_residual_log_affine,2023,probability,"[0.65, 0.7)",117,0.6725608216828116,0.6293103448275862,0.1996891996891997
hgbr_residual_log_affine,2023,probability,"[0.7, 0.75)",48,0.7210103615310558,0.5625,0.07386363636363637
hgbr_residual_log_affine,2023,probability,"[0.75, 0.8)",24,0.7738389790907326,0.7083333333333334,0.35227272727272724
hgbr_residual_log_affine,2023,probability,"[0.8, 0.85)",10,0.8186053322866227,1.0,0.909090909090909
hgbr_residual_log_affine,2023,probability,"[0.85, 1.01)",13,0.9087841669592295,0.8461538461538461,0.6153846153846154
hgbr_residual_log_affine,2023,edge,"[0.0, 0.02)",1375,0.533194777401119,0.5018181818181818,-0.04198347107438016
hgbr_residual_log_affine,2023,edge,"[0.02, 0.04)",937,0.5534809162156107,0.5096153846153846,-0.02706898224507615
hgbr_residual_log_affine,2023,edge,"[0.04, 0.06)",539,0.5726029809223943,0.48237476808905383,-0.07910271546635182
hgbr_residual_log_affine,2023,edge,"[0.06, 0.08)",314,0.592493759334639,0.535031847133758,0.02142443543717429
hgbr_residual_log_affine,2023,edge,"[0.08, 0.1)",209,0.612859931375559,0.5741626794258373,0.09612875163114397
hgbr_residual_log_affine,2023,edge,"[0.1, 0.15)",184,0.6449907806074837,0.5380434782608695,0.02717391304347826
hgbr_residual_log_affine,2023,edge,"[0.15, 1.0)",147,0.7407359620193209,0.6712328767123288,0.2795299938157081
